Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Complexity Average,Owned Users,baverage,numgeeklists,numwanting,numcomments,siteviews,numplays,numplays_month,boardgamecategory_cnt,boardgamemechanic_cnt,boardgamefamily_cnt,Domains_Abstract Games,Domains_Children's Games,Domains_Customizable Games,Domains_Family Games,Domains_Party Games,Domains_Strategy Games,Domains_Thematic Games,Domains_Unknown,Domains_Wargames,target
Diam,2003,2,4,10,8,134.0,2.18,217,5.54782,73.0,14.0,62.0,27409.0,462.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.13
Attangle,2006,2,2,45,8,55.0,2.8,55,5.54806,34.0,3.0,30.0,17852.0,102.0,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.95
Assault on Icecrown Citadel,2011,4,4,40,12,49.0,2.88,118,5.55049,74.0,0.0,21.0,14219.0,55.0,0.0,2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.34
Veritas,2013,3,6,60,12,81.0,2.36,344,5.55044,116.0,26.0,56.0,41256.0,111.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.61
Sixis,2008,2,4,15,0,111.0,1.43,151,5.54803,42.0,5.0,47.0,17756.0,524.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.24
C.O.A.L.: Combat-Oriented Armored League,2013,2,4,10,8,79.0,2.43,119,5.5483,82.0,3.0,20.0,19943.0,236.0,0.0,5.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.79
Pungi,2017,3,5,20,8,98.0,1.2,270,5.54851,15.0,2.0,29.0,11693.0,302.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.32
Unlur,2002,2,2,20,0,35.0,3.0,60,5.54791,72.0,5.0,30.0,22048.0,96.0,0.0,2.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.85
Zoo-ography,2019,1,4,45,12,39.0,2.0,73,5.61939,52.0,28.0,79.0,23767.0,556.0,2.0,4.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
Black Jacky,2018,2,6,20,10,109.0,2.0,284,5.54696,11.0,5.0,20.0,6897.0,325.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33
Alchemidus,2015,1,127,30,10,91.0,1.5,131,5.54793,81.0,15.0,27.0,16177.0,235.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.37
Merchants of the Dark Road,2021,1,4,120,12,47.0,2.92,238,5.56728,82.0,138.0,209.0,137802.0,43.0,0.0,3.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.23
1834,2018,3,5,240,0,37.0,4.0,152,5.5491,28.0,21.0,23.0,12485.0,128.0,0.0,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.56
Rail USA,2014,3,5,40,12,57.0,2.38,126,5.54627,57.0,5.0,34.0,16727.0,157.0,0.0,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.85
The Great Pacific War: The Second World War in the Pacific,2003,2,5,480,12,81.0,4.1,419,5.54759,84.0,9.0,66.0,69105.0,11.0,0.0,2.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.67
Cairo Corridor,2013,2,2,20,10,47.0,2.0,63,5.54993,81.0,6.0,20.0,15549.0,192.0,0.0,1.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28
Vidrado,2020,2,4,30,7,37.0,3.0,41,5.55118,6.0,9.0,15.0,3799.0,49.0,0.0,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.79
Futboard,2018,2,0,45,12,52.0,1.25,92,5.54718,12.0,2.0,6.0,5366.0,176.0,0.0,1.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.3
This Is Not a Test: Post-Apocalyptic Skirmish Rules,2013,2,2,90,0,33.0,2.67,76,5.54778,61.0,4.0,17.0,16604.0,44.0,0.0,5.0,10.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8
My First Stone Age: The Card Game,2017,2,4,30,4,108.0,1.0,357,5.54847,34.0,5.0,46.0,14802.0,605.0,0.0,4.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.31
Cauldron Quest,2015,2,4,20,6,111.0,1.2,317,5.54686,37.0,7.0,41.0,31093.0,507.0,0.0,2.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.34
Critters Below,2017,1,6,60,14,94.0,2.22,282,5.55069,38.0,1.0,37.0,14539.0,166.0,0.0,3.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.43
13 Sheep,2019,1,10,8,8,93.0,1.0,163,5.55537,33.0,4.0,55.0,25837.0,1204.0,0.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.53
Top 5 Rummy,2013,2,4,40,8,64.0,1.8,114,5.54866,37.0,4.0,12.0,11293.0,199.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.71
StoryLine: Fairy Tales,2016,3,8,30,8,172.0,1.0,479,5.54678,39.0,7.0,72.0,33992.0,395.0,0.0,3.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15
Amphipolis,2015,1,4,30,10,131.0,1.8,176,5.54936,83.0,9.0,48.0,26014.0,343.0,0.0,2.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.18
Jig?an: The Eastern Mechanist,2019,2,4,90,14,78.0,3.25,153,5.55097,44.0,16.0,39.0,20683.0,136.0,0.0,5.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.69
