ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains
261898,War For Chicken Island,2020,1,4,240,10,85.0,7.27,9485.0,2.0,415,"Campaign / Battle Card Driven, Dice Rolling, Enclosure, Modular Board, Take That",Unknown
49392,Battleground Fantasy Warfare: Lizardmen,2007,2,2,60,12,49.0,7.39,9486.0,2.67,278,Variable Phase Order,Wargames
7993,Pole Position,1989,2,5,60,10,119.0,6.27,9487.0,1.69,191,"Hand Management, Modular Board, Point to Point Movement, Simultaneous Action Selection, Turn Order: Auction",Unknown
26372,Ina 1806,2006,2,2,120,12,54.0,7.39,9488.0,2.79,240,"Chit-Pull System, Dice Rolling, Hexagon Grid",Wargames
306881,Railroad Ink Challenge: Lush Green Edition,2021,1,4,30,8,43.0,7.76,9489.0,2.0,228,"Dice Rolling, Line Drawing, Network and Route Building, Paper-and-Pencil, Solo / Solitaire Game",Unknown
96765,CardFight!! Vanguard,2011,2,2,20,0,151.0,6.57,9490.0,2.78,265,Hand Management,Unknown
196348,Breakaway Football,2017,1,4,90,12,36.0,8.92,9491.0,3.0,45,"Action Queue, Hand Management",Unknown
290378,Escape From Hades,2019,1,1,90,0,44.0,7.81,9492.0,3.0,171,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation, Solo / Solitaire Game",Wargames
123406,Ace Detective,2013,2,5,60,14,176.0,6.03,9493.0,2.2,555,Storytelling,Thematic Games
129751,KIPP X,2012,2,4,15,5,78.0,6.68,9494.0,1.0,119,Unknown,Unknown
17073,Watten,0,2,4,30,8,53.0,7.15,9495.0,2.13,71,"Betting and Bluffing, Team-Based Game, Trick-taking",Abstract Games
9150,Dark December,1979,1,2,120,14,67.0,7.29,9496.0,3.2,203,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control",Wargames
39290,Jacynth,2008,1,3,25,0,79.0,6.55,9497.0,2.17,53,"Area Majority / Influence, Hand Management, Tile Placement",Unknown
3063,March Madness,1991,2,64,45,10,136.0,6.32,9498.0,2.27,263,Line Drawing,Unknown
6942,Drang Nach Osten!,1973,2,4,12000,12,77.0,6.82,9499.0,4.22,192,"Dice Rolling, Hexagon Grid, Simulation",Wargames
229244,Battlefold,2017,2,4,35,8,110.0,6.56,9500.0,2.0,179,"Action Queue, Pattern Building, Player Elimination, Role Playing, Variable Player Powers",Unknown
220675,Symphony,2018,2,6,45,12,76.0,6.85,9501.0,3.5,112,"Card Drafting, Modular Board, Set Collection, Variable Phase Order, Variable Player Powers",Unknown
26047,Sid Meier's Civilization: The Card Game,2006,2,4,60,12,251.0,5.97,9502.0,2.11,606,"Hand Management, Set Collection","Strategy Games, Thematic Games"
284949,Orchard Ocean,2019,3,4,90,14,65.0,6.93,9503.0,3.67,94,Tile Placement,Unknown
234846,Schttel's,2017,2,6,30,8,139.0,6.22,9504.0,1.5,190,Push Your Luck,Unknown
293671,Necromunda: Dark Uprising,2019,2,2,90,12,35.0,8.99,9505.0,4.0,161,"Action Points, Dice Rolling, Modular Board, Variable Player Powers",Unknown
131387,MOD X,2012,2,4,25,15,103.0,6.95,9506.0,1.67,220,Pattern Building,Abstract Games
42617,Dune Express,2009,2,5,15,7,220.0,6.02,9507.0,1.5,356,Dice Rolling,"Family Games, Strategy Games"
7739,America in Flames,1998,2,6,360,12,90.0,6.54,9508.0,4.53,403,Hexagon Grid,Wargames
118452,Die Tore der Welt: Das Kartenspiel,2012,2,4,45,10,153.0,6.13,9509.0,2.17,455,Unknown,Unknown
129417,Scotland Yard,1990,2,2,60,8,107.0,6.54,9510.0,2.5,372,"Roll / Spin and Move, Secret Unit Deployment",Unknown
249882,Sevilla 1503,2019,2,5,50,10,52.0,7.39,9511.0,2.0,59,"Auction/Bidding, Set Collection",Unknown
173784,Five Seals of Magic,2014,2,5,60,8,207.0,6.11,9512.0,2.43,569,"Area Movement, Dice Rolling, Modular Board, Set Collection",Unknown
180355,Visby,2015,2,2,30,10,94.0,6.58,9513.0,1.25,160,"Commodity Speculation, Simultaneous Action Selection",Unknown
273636,1836,2019,3,5,150,21,40.0,7.74,9514.0,0.0,78,"Auction/Bidding, Stock Holding, Tile Placement",Unknown
177142,Tornio '44,2015,1,2,600,12,45.0,7.73,9515.0,3.0,212,"Dice Rolling, Hexagon Grid, Simulation",Wargames
7752,Over There,2000,2,4,720,12,48.0,7.6,9516.0,4.33,232,"Hexagon Grid, Simulation",Wargames
148494,"1,2,3! Now you see me...",2013,2,8,15,6,242.0,6.09,9517.0,1.31,365,Memory,Unknown
88246,Punic Island: Campaign Commander Volume III,2011,2,2,240,12,51.0,7.27,9518.0,3.22,194,"Area Movement, Area-Impulse, Dice Rolling, Simulation, Simultaneous Action Selection",Wargames
261982,Combo Fighter: VS Pack 1,2018,2,4,15,12,54.0,7.25,9519.0,0.0,176,"Hand Management, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers",Unknown
18579,The Nightmare Before Christmas TCG,2005,2,6,45,10,92.0,6.62,9520.0,2.0,245,Hand Management,Customizable Games
6041,Budapest '45,1994,2,2,120,0,106.0,6.45,9521.0,2.42,481,Hexagon Grid,Wargames
208663,Godforsaken Scavengers,2017,1,6,45,14,163.0,6.43,9522.0,1.67,404,"Cooperative Game, Hand Management, Player Elimination, Push Your Luck, Storytelling, Trading",Unknown
85857,Guns of August,2011,1,2,180,12,75.0,6.66,9523.0,2.07,222,"Chit-Pull System, Dice Rolling, Hexagon Grid, Simulation, Zone of Control",Wargames
234946,Liberatores: The Conspiracy to Liberate Rome,2017,3,6,60,13,119.0,6.43,9524.0,3.0,272,"Deck Bag and Pool Building, Take That, Team-Based Game",Unknown
210414,Magic: The Gathering - Duel Decks: Nissa vs. Ob Nixilis,2016,2,2,0,13,49.0,7.35,9525.0,0.0,208,"Campaign / Battle Card Driven, Hand Management, Player Elimination",Unknown
177844,Sector 6,2017,1,6,60,8,363.0,6.12,9526.0,2.18,1008,"Enclosure, Grid Movement, Modular Board",Unknown
4293,The Great Redoubt: A Game of the Battle of Borodino,1979,2,2,600,12,77.0,6.94,9527.0,3.53,250,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation",Wargames
147563,Stories!,2013,3,10,30,8,93.0,6.52,9528.0,1.14,202,Storytelling,Party Games
3794,Legend of Zagor,1993,1,4,60,0,201.0,6.14,9529.0,1.7,398,Unknown,Unknown
1337,Kuba,1994,2,2,20,8,146.0,6.17,9530.0,1.9,303,Grid Movement,Abstract Games
107649,Catch a Falling Star,2011,1,5,15,5,144.0,6.17,9531.0,1.0,311,Unknown,Unknown
253318,London & Northwestern,2018,3,5,90,0,59.0,6.88,9532.0,0.0,134,"Auction/Bidding, Network and Route Building, Stock Holding",Unknown
2457,Torpedo Run!,1986,2,2,60,8,217.0,6.04,9533.0,1.3,321,"Area Movement, Simultaneous Action Selection","Children's Games, Wargames"
237088,Triangoli,2017,2,2,30,10,45.0,7.67,9534.0,2.5,67,"Area Majority / Influence, Point to Point Movement",Unknown
171124,Hero's Journey Home,2015,1,3,45,13,55.0,7.15,9535.0,2.67,160,"Dice Rolling, Hand Management, Variable Player Powers",Unknown
4222,War Between The States 1861-1865,1977,1,2,360,14,82.0,6.82,9536.0,3.78,292,"Dice Rolling, Hexagon Grid, Simulation",Wargames
201307,Menu Masters,2016,2,5,40,8,157.0,6.26,9537.0,1.5,518,"Set Collection, Worker Placement",Unknown
266936,Slyville,2019,3,5,60,10,79.0,6.88,9538.0,1.5,112,"Auction/Bidding, Hand Management, Income, Modular Board, Negotiation, Set Collection, Take That, Turn Order: Progressive, Variable Set-up",Unknown
7475,Hand and Foot,1982,2,6,120,12,324.0,5.93,9539.0,1.91,277,"Set Collection, Team-Based Game",Family Games
243599,Black Hole Council,2018,4,8,60,14,80.0,6.74,9540.0,1.75,367,"Pattern Recognition, Simultaneous Action Selection, Voting",Unknown
300095,Jubako,2020,2,4,30,8,63.0,7.03,9541.0,1.8,125,Tile Placement,Unknown
176306,Conspiracy!,2016,2,4,45,13,70.0,7.13,9542.0,2.0,221,"Hand Management, Set Collection",Unknown
93138,Schlacht am Buffet,2011,3,6,30,8,128.0,6.2,9543.0,1.67,191,Simultaneous Action Selection,Unknown
122236,Conflict of Alliances: Warring States,2011,2,2,60,10,62.0,7.8,9544.0,2.52,56,"Area-Impulse, Campaign / Battle Card Driven, Simulation","Strategy Games, Wargames"
220258,Envyra,2018,2,4,25,8,75.0,7.03,9545.0,2.0,225,"Area Majority / Influence, Set Collection, Simultaneous Action Selection",Unknown
128927,Shinobi: War of Clans,2012,3,5,20,12,186.0,6.07,9546.0,1.44,265,Hand Management,Unknown
194234,Adventure Time Card Wars: Fionna vs Cake,2016,2,2,30,10,73.0,7.11,9547.0,2.0,305,Unknown,Unknown
118732,Titans of Industry,2013,3,6,150,13,95.0,6.54,9548.0,2.73,284,"Set Collection, Worker Placement",Unknown
7278,Against All Odds,2003,2,2,180,12,56.0,7.32,9549.0,4.11,190,"Hexagon Grid, Secret Unit Deployment, Simulation",Wargames
276551,Mysthea: The Fall,2020,2,5,120,14,43.0,8.12,9550.0,3.5,385,Cooperative Game,Unknown
1551,Sub Search,1973,2,2,45,10,332.0,5.81,9551.0,1.47,751,"Secret Unit Deployment, Square Grid","Family Games, Wargames"
10534,Napoleon's Art of War: Eylau & Dresden,1979,2,2,300,14,175.0,6.14,9552.0,1.9,680,"Dice Rolling, Hexagon Grid",Wargames
39331,Legends of Boxing,2000,1,2,45,12,45.0,8.62,9553.0,2.2,63,Dice Rolling,Unknown
195456,SPY,2017,2,4,10,10,297.0,5.86,9554.0,1.83,1707,"Hand Management, Memory, Player Elimination, Secret Unit Deployment",Unknown
225526,Big Bang 13.7,2018,1,4,45,8,76.0,7.03,9555.0,1.75,151,"Pattern Building, Team-Based Game, Tile Placement, Time Track",Unknown
131788,Game Over,2012,2,4,15,5,174.0,6.04,9556.0,1.3,354,Memory,Unknown
273657,El Camarero,2018,2,10,30,8,54.0,7.38,9557.0,1.0,93,Memory,Unknown
299270,Funkoverse Strategy Game: Golden Girls 101 - Dorothy and Sophia,2020,2,2,60,10,53.0,7.38,9558.0,0.0,462,"Action Points, Dice Rolling, Grid Movement, Variable Player Powers",Unknown
211996,Drinking Fluxx,2017,2,6,40,21,148.0,6.3,9559.0,1.0,696,"Hand Management, Set Collection",Unknown
238136,Elementum,2018,1,4,30,10,89.0,6.99,9560.0,2.0,113,"Card Drafting, Set Collection",Unknown
3965,Snapshot,1979,2,2,60,12,142.0,6.17,9561.0,2.19,469,"Action Points, Dice Rolling, Grid Movement, Line of Sight, Role Playing, Square Grid",Wargames
1246,Insecta,1992,1,7,300,12,136.0,6.22,9562.0,2.74,396,"Cooperative Game, Dice Rolling, Hexagon Grid, Role Playing, Simulation, Variable Player Powers",Wargames
243964,Showtime,2018,2,4,40,8,172.0,6.03,9563.0,1.29,296,"Area Majority / Influence, Take That",Unknown
10102,"Ignorant Armies: The Iran-Iraq War, 1980-88",2003,1,2,240,12,72.0,6.76,9564.0,2.6,257,"Dice Rolling, Hexagon Grid, Simulation",Wargames
158751,Guerra De Mitos III,2013,2,6,20,10,58.0,7.96,9565.0,2.33,80,Unknown,Unknown
103975,Ortus,2013,2,2,30,12,96.0,6.52,9566.0,3.0,187,"Action Points, Area Majority / Influence, Grid Movement",Unknown
176013,­Abordaje!,2015,2,2,25,10,143.0,6.27,9567.0,1.89,355,"Area Majority / Influence, Card Drafting, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers",Unknown
769,Star Trek Red Alert,2000,2,8,90,10,108.0,6.49,9568.0,2.33,244,Variable Player Powers,Unknown
17821,Connection Games,2005,0,0,0,0,32.0,8.78,9569.0,3.33,58,"Enclosure, Line Drawing, Paper-and-Pencil, Tile Placement",Abstract Games
41019,Sherwood Forest,2009,3,6,60,9,376.0,5.8,9570.0,2.24,540,"Trading, Worker Placement","Strategy Games, Thematic Games"
268665,Suzume-Jong,2018,2,5,30,6,68.0,7.0,9571.0,1.75,123,Set Collection,Unknown
